regime_name,start_date,end_date,n_days
Warm-up,2021-09-23,2022-01-28,89
Elevated,2022-01-31,2022-02-01,2
Normal,2022-02-02,2022-02-02,1
Elevated,2022-02-03,2022-02-03,1
Normal,2022-02-04,2022-02-11,6
Elevated,2022-02-14,2022-02-25,9
Crisis,2022-02-28,2022-03-08,7
Elevated,2022-03-09,2022-05-10,44
Crisis,2022-05-11,2022-08-02,57
Elevated,2022-08-03,2022-11-10,71
Crisis,2022-11-11,2022-12-23,30
Elevated,2022-12-27,2023-01-13,13
Normal,2023-01-17,2023-02-22,26
Elevated,2023-02-23,2023-03-27,23
Normal,2023-03-28,2023-03-31,4
Low,2023-04-03,2023-11-16,159
Normal,2023-11-17,2023-12-06,13
Low,2023-12-07,2024-03-22,73
Normal,2024-03-25,2024-05-03,29
Low,2024-05-06,2024-08-01,61
Normal,2024-08-02,2024-09-23,36
Low,2024-09-24,2024-11-12,36
Normal,2024-11-13,2024-12-26,30
Low,2024-12-27,2025-01-08,8
Normal,2025-01-10,2025-02-06,19
Low,2025-02-07,2025-02-19,8
Normal,2025-02-20,2025-04-04,32
Elevated,2025-04-07,2025-04-10,4
Crisis,2025-04-11,2025-05-22,29
Elevated,2025-05-23,2025-05-28,3
Low,2025-05-29,2025-06-18,15
Elevated,2025-06-20,2025-06-20,1
Low,2025-06-23,2025-09-11,57
Normal,2025-09-12,2025-11-24,52
Low,2025-11-25,2026-02-06,50
Normal,2026-02-09,2026-03-24,31
Low,2026-03-25,2026-05-06,30
Normal,2026-05-07,2026-07-22,52
Low,2026-07-23,2026-09-21,42
