date,ticker,vol30,vol90
2021-09-13,AAPL,,
2021-09-13,MSFT,,
2021-09-13,NVDA,,
2021-09-13,GOOGL,,
2021-09-13,AMZN,,
2021-09-13,META,,
2021-09-13,TSLA,,
2021-09-13,AMD,,
2021-09-13,NFLX,,
2021-09-13,CRM,,
2021-09-13,ORCL,,
2021-09-13,ADBE,,
2021-09-13,AVGO,,
2021-09-13,QCOM,,
2021-09-13,INTC,,
2021-09-13,BTC-USD,,
2021-09-13,ETH-USD,,
2021-09-13,SOL-USD,,
2021-09-14,AAPL,,
2021-09-14,MSFT,,
2021-09-14,NVDA,,
2021-09-14,GOOGL,,
2021-09-14,AMZN,,
2021-09-14,META,,
2021-09-14,TSLA,,
2021-09-14,AMD,,
2021-09-14,NFLX,,
2021-09-14,CRM,,
2021-09-14,ORCL,,
2021-09-14,ADBE,,
2021-09-14,AVGO,,
2021-09-14,QCOM,,
2021-09-14,INTC,,
2021-09-14,BTC-USD,,
2021-09-14,ETH-USD,,
2021-09-14,SOL-USD,,
2021-09-15,AAPL,,
2021-09-15,MSFT,,
2021-09-15,NVDA,,
2021-09-15,GOOGL,,
2021-09-15,AMZN,,
2021-09-15,META,,
2021-09-15,TSLA,,
2021-09-15,AMD,,
2021-09-15,NFLX,,
2021-09-15,CRM,,
2021-09-15,ORCL,,
2021-09-15,ADBE,,
2021-09-15,AVGO,,
2021-09-15,QCOM,,
2021-09-15,INTC,,
2021-09-15,BTC-USD,,
2021-09-15,ETH-USD,,
2021-09-15,SOL-USD,,
2021-09-16,AAPL,,
2021-09-16,MSFT,,
2021-09-16,NVDA,,
2021-09-16,GOOGL,,
2021-09-16,AMZN,,
2021-09-16,META,,
2021-09-16,TSLA,,
2021-09-16,AMD,,
2021-09-16,NFLX,,
2021-09-16,CRM,,
2021-09-16,ORCL,,
2021-09-16,ADBE,,
2021-09-16,AVGO,,
2021-09-16,QCOM,,
2021-09-16,INTC,,
2021-09-16,BTC-USD,,
2021-09-16,ETH-USD,,
2021-09-16,SOL-USD,,
2021-09-17,AAPL,,
2021-09-17,MSFT,,
2021-09-17,NVDA,,
2021-09-17,GOOGL,,
2021-09-17,AMZN,,
2021-09-17,META,,
2021-09-17,TSLA,,
2021-09-17,AMD,,
2021-09-17,NFLX,,
2021-09-17,CRM,,
2021-09-17,ORCL,,
2021-09-17,ADBE,,
2021-09-17,AVGO,,
2021-09-17,QCOM,,
2021-09-17,INTC,,
2021-09-17,BTC-USD,,
2021-09-17,ETH-USD,,
2021-09-17,SOL-USD,,
2021-09-20,AAPL,,
2021-09-20,MSFT,,
2021-09-20,NVDA,,
2021-09-20,GOOGL,,
2021-09-20,AMZN,,
2021-09-20,META,,
2021-09-20,TSLA,,
2021-09-20,AMD,,
2021-09-20,NFLX,,
2021-09-20,CRM,,
2021-09-20,ORCL,,
2021-09-20,ADBE,,
2021-09-20,AVGO,,
2021-09-20,QCOM,,
2021-09-20,INTC,,
2021-09-20,BTC-USD,,
2021-09-20,ETH-USD,,
2021-09-20,SOL-USD,,
2021-09-21,AAPL,,
2021-09-21,MSFT,,
2021-09-21,NVDA,,
2021-09-21,GOOGL,,
2021-09-21,AMZN,,
2021-09-21,META,,
2021-09-21,TSLA,,
2021-09-21,AMD,,
2021-09-21,NFLX,,
2021-09-21,CRM,,
2021-09-21,ORCL,,
2021-09-21,ADBE,,
2021-09-21,AVGO,,
2021-09-21,QCOM,,
2021-09-21,INTC,,
2021-09-21,BTC-USD,,
2021-09-21,ETH-USD,,
2021-09-21,SOL-USD,,
2021-09-22,AAPL,,
2021-09-22,MSFT,,
2021-09-22,NVDA,,
2021-09-22,GOOGL,,
2021-09-22,AMZN,,
2021-09-22,META,,
2021-09-22,TSLA,,
2021-09-22,AMD,,
2021-09-22,NFLX,,
2021-09-22,CRM,,
2021-09-22,ORCL,,
2021-09-22,ADBE,,
2021-09-22,AVGO,,
2021-09-22,QCOM,,
2021-09-22,INTC,,
2021-09-22,BTC-USD,,
2021-09-22,ETH-USD,,
2021-09-22,SOL-USD,,
2021-09-23,AAPL,,
2021-09-23,MSFT,,
2021-09-23,NVDA,,
2021-09-23,GOOGL,,
2021-09-23,AMZN,,
2021-09-23,META,,
2021-09-23,TSLA,,
2021-09-23,AMD,,
2021-09-23,NFLX,,
2021-09-23,CRM,,
2021-09-23,ORCL,,
2021-09-23,ADBE,,
2021-09-23,AVGO,,
2021-09-23,QCOM,,
2021-09-23,INTC,,
2021-09-23,BTC-USD,,
2021-09-23,ETH-USD,,
2021-09-23,SOL-USD,,
2021-09-24,AAPL,,
2021-09-24,MSFT,,
2021-09-24,NVDA,,
2021-09-24,GOOGL,,
2021-09-24,AMZN,,
2021-09-24,META,,
2021-09-24,TSLA,,
2021-09-24,AMD,,
2021-09-24,NFLX,,
2021-09-24,CRM,,
2021-09-24,ORCL,,
2021-09-24,ADBE,,
2021-09-24,AVGO,,
2021-09-24,QCOM,,
2021-09-24,INTC,,
2021-09-24,BTC-USD,,
2021-09-24,ETH-USD,,
2021-09-24,SOL-USD,,
2021-09-27,AAPL,,
2021-09-27,MSFT,,
2021-09-27,NVDA,,
2021-09-27,GOOGL,,
2021-09-27,AMZN,,
2021-09-27,META,,
2021-09-27,TSLA,,
2021-09-27,AMD,,
2021-09-27,NFLX,,
2021-09-27,CRM,,
2021-09-27,ORCL,,
2021-09-27,ADBE,,
2021-09-27,AVGO,,
2021-09-27,QCOM,,
2021-09-27,INTC,,
2021-09-27,BTC-USD,,
2021-09-27,ETH-USD,,
2021-09-27,SOL-USD,,
2021-09-28,AAPL,,
2021-09-28,MSFT,,
2021-09-28,NVDA,,
2021-09-28,GOOGL,,
2021-09-28,AMZN,,
2021-09-28,META,,
2021-09-28,TSLA,,
2021-09-28,AMD,,
2021-09-28,NFLX,,
2021-09-28,CRM,,
2021-09-28,ORCL,,
2021-09-28,ADBE,,
2021-09-28,AVGO,,
2021-09-28,QCOM,,
2021-09-28,INTC,,
2021-09-28,BTC-USD,,
2021-09-28,ETH-USD,,
2021-09-28,SOL-USD,,
2021-09-29,AAPL,,
2021-09-29,MSFT,,
2021-09-29,NVDA,,
2021-09-29,GOOGL,,
2021-09-29,AMZN,,
2021-09-29,META,,
2021-09-29,TSLA,,
2021-09-29,AMD,,
2021-09-29,NFLX,,
2021-09-29,CRM,,
2021-09-29,ORCL,,
2021-09-29,ADBE,,
2021-09-29,AVGO,,
2021-09-29,QCOM,,
2021-09-29,INTC,,
2021-09-29,BTC-USD,,
2021-09-29,ETH-USD,,
2021-09-29,SOL-USD,,
2021-09-30,AAPL,,
2021-09-30,MSFT,,
2021-09-30,NVDA,,
2021-09-30,GOOGL,,
2021-09-30,AMZN,,
2021-09-30,META,,
2021-09-30,TSLA,,
2021-09-30,AMD,,
2021-09-30,NFLX,,
2021-09-30,CRM,,
2021-09-30,ORCL,,
2021-09-30,ADBE,,
2021-09-30,AVGO,,
2021-09-30,QCOM,,
2021-09-30,INTC,,
2021-09-30,BTC-USD,,
2021-09-30,ETH-USD,,
2021-09-30,SOL-USD,,
2021-10-01,AAPL,,
2021-10-01,MSFT,,
2021-10-01,NVDA,,
2021-10-01,GOOGL,,
2021-10-01,AMZN,,
2021-10-01,META,,
2021-10-01,TSLA,,
2021-10-01,AMD,,
2021-10-01,NFLX,,
2021-10-01,CRM,,
2021-10-01,ORCL,,
2021-10-01,ADBE,,
2021-10-01,AVGO,,
2021-10-01,QCOM,,
2021-10-01,INTC,,
2021-10-01,BTC-USD,,
2021-10-01,ETH-USD,,
2021-10-01,SOL-USD,,
2021-10-04,AAPL,,
2021-10-04,MSFT,,
2021-10-04,NVDA,,
2021-10-04,GOOGL,,
2021-10-04,AMZN,,
2021-10-04,META,,
2021-10-04,TSLA,,
2021-10-04,AMD,,
2021-10-04,NFLX,,
2021-10-04,CRM,,
2021-10-04,ORCL,,
2021-10-04,ADBE,,
2021-10-04,AVGO,,
2021-10-04,QCOM,,
2021-10-04,INTC,,
2021-10-04,BTC-USD,,
2021-10-04,ETH-USD,,
2021-10-04,SOL-USD,,
2021-10-05,AAPL,,
2021-10-05,MSFT,,
2021-10-05,NVDA,,
2021-10-05,GOOGL,,
2021-10-05,AMZN,,
2021-10-05,META,,
2021-10-05,TSLA,,
2021-10-05,AMD,,
2021-10-05,NFLX,,
2021-10-05,CRM,,
2021-10-05,ORCL,,
2021-10-05,ADBE,,
2021-10-05,AVGO,,
2021-10-05,QCOM,,
2021-10-05,INTC,,
2021-10-05,BTC-USD,,
2021-10-05,ETH-USD,,
2021-10-05,SOL-USD,,
2021-10-06,AAPL,,
2021-10-06,MSFT,,
2021-10-06,NVDA,,
2021-10-06,GOOGL,,
2021-10-06,AMZN,,
2021-10-06,META,,
2021-10-06,TSLA,,
2021-10-06,AMD,,
2021-10-06,NFLX,,
2021-10-06,CRM,,
2021-10-06,ORCL,,
2021-10-06,ADBE,,
2021-10-06,AVGO,,
2021-10-06,QCOM,,
2021-10-06,INTC,,
2021-10-06,BTC-USD,,
2021-10-06,ETH-USD,,
2021-10-06,SOL-USD,,
2021-10-07,AAPL,,
2021-10-07,MSFT,,
2021-10-07,NVDA,,
2021-10-07,GOOGL,,
2021-10-07,AMZN,,
2021-10-07,META,,
2021-10-07,TSLA,,
2021-10-07,AMD,,
2021-10-07,NFLX,,
2021-10-07,CRM,,
2021-10-07,ORCL,,
2021-10-07,ADBE,,
2021-10-07,AVGO,,
2021-10-07,QCOM,,
2021-10-07,INTC,,
2021-10-07,BTC-USD,,
2021-10-07,ETH-USD,,
2021-10-07,SOL-USD,,
2021-10-08,AAPL,,
2021-10-08,MSFT,,
2021-10-08,NVDA,,
2021-10-08,GOOGL,,
2021-10-08,AMZN,,
2021-10-08,META,,
2021-10-08,TSLA,,
2021-10-08,AMD,,
2021-10-08,NFLX,,
2021-10-08,CRM,,
2021-10-08,ORCL,,
2021-10-08,ADBE,,
2021-10-08,AVGO,,
2021-10-08,QCOM,,
2021-10-08,INTC,,
2021-10-08,BTC-USD,,
2021-10-08,ETH-USD,,
2021-10-08,SOL-USD,,
2021-10-11,AAPL,,
2021-10-11,MSFT,,
2021-10-11,NVDA,,
2021-10-11,GOOGL,,
2021-10-11,AMZN,,
2021-10-11,META,,
2021-10-11,TSLA,,
2021-10-11,AMD,,
2021-10-11,NFLX,,
2021-10-11,CRM,,
2021-10-11,ORCL,,
2021-10-11,ADBE,,
2021-10-11,AVGO,,
2021-10-11,QCOM,,
2021-10-11,INTC,,
2021-10-11,BTC-USD,,
2021-10-11,ETH-USD,,
2021-10-11,SOL-USD,,
2021-10-12,AAPL,,
2021-10-12,MSFT,,
2021-10-12,NVDA,,
2021-10-12,GOOGL,,
2021-10-12,AMZN,,
2021-10-12,META,,
2021-10-12,TSLA,,
2021-10-12,AMD,,
2021-10-12,NFLX,,
2021-10-12,CRM,,
2021-10-12,ORCL,,
2021-10-12,ADBE,,
2021-10-12,AVGO,,
2021-10-12,QCOM,,
2021-10-12,INTC,,
2021-10-12,BTC-USD,,
2021-10-12,ETH-USD,,
2021-10-12,SOL-USD,,
2021-10-13,AAPL,,
2021-10-13,MSFT,,
2021-10-13,NVDA,,
2021-10-13,GOOGL,,
2021-10-13,AMZN,,
2021-10-13,META,,
2021-10-13,TSLA,,
2021-10-13,AMD,,
2021-10-13,NFLX,,
2021-10-13,CRM,,
2021-10-13,ORCL,,
2021-10-13,ADBE,,
2021-10-13,AVGO,,
2021-10-13,QCOM,,
2021-10-13,INTC,,
2021-10-13,BTC-USD,,
2021-10-13,ETH-USD,,
2021-10-13,SOL-USD,,
2021-10-14,AAPL,,
2021-10-14,MSFT,,
2021-10-14,NVDA,,
2021-10-14,GOOGL,,
2021-10-14,AMZN,,
2021-10-14,META,,
2021-10-14,TSLA,,
2021-10-14,AMD,,
2021-10-14,NFLX,,
2021-10-14,CRM,,
2021-10-14,ORCL,,
2021-10-14,ADBE,,
2021-10-14,AVGO,,
2021-10-14,QCOM,,
2021-10-14,INTC,,
2021-10-14,BTC-USD,,
2021-10-14,ETH-USD,,
2021-10-14,SOL-USD,,
2021-10-15,AAPL,,
2021-10-15,MSFT,,
2021-10-15,NVDA,,
2021-10-15,GOOGL,,
2021-10-15,AMZN,,
2021-10-15,META,,
2021-10-15,TSLA,,
2021-10-15,AMD,,
2021-10-15,NFLX,,
2021-10-15,CRM,,
2021-10-15,ORCL,,
2021-10-15,ADBE,,
2021-10-15,AVGO,,
2021-10-15,QCOM,,
2021-10-15,INTC,,
2021-10-15,BTC-USD,,
2021-10-15,ETH-USD,,
2021-10-15,SOL-USD,,
2021-10-18,AAPL,,
2021-10-18,MSFT,,
2021-10-18,NVDA,,
2021-10-18,GOOGL,,
2021-10-18,AMZN,,
2021-10-18,META,,
2021-10-18,TSLA,,
2021-10-18,AMD,,
2021-10-18,NFLX,,
2021-10-18,CRM,,
2021-10-18,ORCL,,
2021-10-18,ADBE,,
2021-10-18,AVGO,,
2021-10-18,QCOM,,
2021-10-18,INTC,,
2021-10-18,BTC-USD,,
2021-10-18,ETH-USD,,
2021-10-18,SOL-USD,,
2021-10-19,AAPL,,
2021-10-19,MSFT,,
2021-10-19,NVDA,,
2021-10-19,GOOGL,,
2021-10-19,AMZN,,
2021-10-19,META,,
2021-10-19,TSLA,,
2021-10-19,AMD,,
2021-10-19,NFLX,,
2021-10-19,CRM,,
2021-10-19,ORCL,,
2021-10-19,ADBE,,
2021-10-19,AVGO,,
2021-10-19,QCOM,,
2021-10-19,INTC,,
2021-10-19,BTC-USD,,
2021-10-19,ETH-USD,,
2021-10-19,SOL-USD,,
2021-10-20,AAPL,,
2021-10-20,MSFT,,
2021-10-20,NVDA,,
2021-10-20,GOOGL,,
2021-10-20,AMZN,,
2021-10-20,META,,
2021-10-20,TSLA,,
2021-10-20,AMD,,
2021-10-20,NFLX,,
2021-10-20,CRM,,
2021-10-20,ORCL,,
2021-10-20,ADBE,,
2021-10-20,AVGO,,
2021-10-20,QCOM,,
2021-10-20,INTC,,
2021-10-20,BTC-USD,,
2021-10-20,ETH-USD,,
2021-10-20,SOL-USD,,
2021-10-21,AAPL,,
2021-10-21,MSFT,,
2021-10-21,NVDA,,
2021-10-21,GOOGL,,
2021-10-21,AMZN,,
2021-10-21,META,,
2021-10-21,TSLA,,
2021-10-21,AMD,,
2021-10-21,NFLX,,
2021-10-21,CRM,,
2021-10-21,ORCL,,
2021-10-21,ADBE,,
2021-10-21,AVGO,,
2021-10-21,QCOM,,
2021-10-21,INTC,,
2021-10-21,BTC-USD,,
2021-10-21,ETH-USD,,
2021-10-21,SOL-USD,,
2021-10-22,AAPL,0.18794454574406616,
2021-10-22,MSFT,0.21811328795701257,
2021-10-22,NVDA,0.3415266978979233,
2021-10-22,GOOGL,0.23622704812515966,
2021-10-22,AMZN,0.22431436493108708,
2021-10-22,META,0.31418463144572223,
2021-10-22,TSLA,0.23904540048458375,
2021-10-22,AMD,0.32933548645133254,
2021-10-22,NFLX,0.2892328834683005,
2021-10-22,CRM,0.2827109575004749,
2021-10-22,ORCL,0.2472737055461834,
2021-10-22,ADBE,0.2889992533449821,
2021-10-22,AVGO,0.19675883088737692,
2021-10-22,QCOM,0.21461145003468138,
2021-10-22,INTC,0.3922703304071756,
2021-10-22,BTC-USD,0.7133225676845614,
2021-10-22,ETH-USD,0.810176971926332,
2021-10-22,SOL-USD,1.1145496244784336,
2021-10-25,AAPL,0.18758361195004125,
2021-10-25,MSFT,0.2184027947900431,
2021-10-25,NVDA,0.34262266762301496,
2021-10-25,GOOGL,0.23390438300365785,
2021-10-25,AMZN,0.22443223566304743,
2021-10-25,META,0.3182295376775392,
2021-10-25,TSLA,0.42078569728831977,
2021-10-25,AMD,0.33178342863825117,
2021-10-25,NFLX,0.2838597846791427,
2021-10-25,CRM,0.2783685609537845,
2021-10-25,ORCL,0.2455313123116044,
2021-10-25,ADBE,0.2829160195071833,
2021-10-25,AVGO,0.19954836609437082,
2021-10-25,QCOM,0.21389708705645946,
2021-10-25,INTC,0.3857449223040717,
2021-10-25,BTC-USD,0.7171468233075831,
2021-10-25,ETH-USD,0.82427483891631,
2021-10-25,SOL-USD,1.1125160151815856,
2021-10-26,AAPL,0.18587739401115455,
2021-10-26,MSFT,0.2176063327830581,
2021-10-26,NVDA,0.3913731825949688,
2021-10-26,GOOGL,0.23762450851615136,
2021-10-26,AMZN,0.23039890444021432,
2021-10-26,META,0.3334981975451063,
2021-10-26,TSLA,0.42301899248098807,
2021-10-26,AMD,0.33162368940061776,
2021-10-26,NFLX,0.27605232564844945,
2021-10-26,CRM,0.278130197917985,
2021-10-26,ORCL,0.23006668036776146,
2021-10-26,ADBE,0.2836755538305878,
2021-10-26,AVGO,0.20820215156353106,
2021-10-26,QCOM,0.2103447194892444,
2021-10-26,INTC,0.3896655686504118,
2021-10-26,BTC-USD,0.7261860411356591,
2021-10-26,ETH-USD,0.8222569442019138,
2021-10-26,SOL-USD,1.103537179707615,
2021-10-27,AAPL,0.18530441399140432,
2021-10-27,MSFT,0.24412065838657857,
2021-10-27,NVDA,0.39363563261161694,
2021-10-27,GOOGL,0.27631675878975537,
2021-10-27,AMZN,0.22972488473175756,
2021-10-27,META,0.33389645686684216,
2021-10-27,TSLA,0.4235138826065014,
2021-10-27,AMD,0.332519978671169,
2021-10-27,NFLX,0.2784803126871576,
2021-10-27,CRM,0.27843361354286067,
2021-10-27,ORCL,0.23083075996081776,
2021-10-27,ADBE,0.2738169236408085,
2021-10-27,AVGO,0.2141435199898217,
2021-10-27,QCOM,0.20333600357115436,
2021-10-27,INTC,0.3873111898794716,
2021-10-27,BTC-USD,0.7342393427478013,
2021-10-27,ETH-USD,0.825499683573801,
2021-10-27,SOL-USD,1.1341954072734144,
2021-10-28,AAPL,0.19881063476848107,
2021-10-28,MSFT,0.24415211543764676,
2021-10-28,NVDA,0.39583780026734466,
2021-10-28,GOOGL,0.2758495991887991,
2021-10-28,AMZN,0.23447339529162242,
2021-10-28,META,0.33921209773783295,
2021-10-28,TSLA,0.42948093303261514,
2021-10-28,AMD,0.3350664068031906,
2021-10-28,NFLX,0.28074083705594943,
2021-10-28,CRM,0.2769181494267516,
2021-10-28,ORCL,0.22938815708378824,
